archiveType,proxyObservationType,units,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits
tree,Tree Ring Standardized Growth Index,NA,NA,NA,NA,NA
tree,Residual,NA,NA,NA,NA,NA
tree,Arstan Chronology,NA,NA,NA,NA,NA
tree,Corrs,NA,NA,NA,NA,NA
tree,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,Expressed Population Signal,NA,NA,NA,NA,NA
tree,Core,NA,NA,NA,NA,NA
tree,Sample Count,count,NA,NA,NA,NA
tree,Segment,NA,NA,NA,NA,NA
tree,Tree Ring Width,cm,NA,NA,NA,NA
tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
tree,Residual,NA,NA,NA,NA,NA
tree,Arstan Chronology,NA,NA,NA,NA,NA
tree,Corrs,NA,NA,NA,NA,NA
tree,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,Expressed Population Signal,NA,NA,NA,NA,NA
tree,Core,NA,NA,NA,NA,NA
tree,Sample Count,count,NA,NA,NA,NA
tree,Segment,NA,NA,NA,NA,NA
tree,Tree Ring Width,cm,NA,NA,NA,NA
tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
tree,Residual,NA,NA,NA,NA,NA
tree,Arstan Chronology,NA,NA,NA,NA,NA
tree,Corrs,NA,NA,NA,NA,NA
tree,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,Expressed Population Signal,NA,NA,NA,NA,NA
tree,Core,NA,NA,NA,NA,NA
tree,Sample Count,count,NA,NA,NA,NA
tree,Segment,NA,NA,NA,NA,NA
tree,Tree Ring Width,cm,NA,NA,NA,NA
tree,Tree Ring Standardized Growth Index,NA,NA,NA,NA,NA
tree,Residual,NA,NA,NA,NA,NA
tree,Arstan Chronology,NA,NA,NA,NA,NA
tree,Corrs,NA,NA,NA,NA,NA
tree,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,Expressed Population Signal,NA,NA,NA,NA,NA
tree,Core,NA,NA,NA,NA,NA
tree,Sample Count,count,NA,NA,NA,NA
tree,Segment,NA,NA,NA,NA,NA
tree,Tree Ring Width,cm,NA,NA,NA,NA
tree,Tree Ring Standardized Growth Index,NA,NA,NA,NA,NA
tree,Residual,NA,NA,NA,NA,NA
tree,Arstan Chronology,NA,NA,NA,NA,NA
tree,Corrs,NA,NA,NA,NA,NA
tree,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,Expressed Population Signal,NA,NA,NA,NA,NA
tree,Core,NA,NA,NA,NA,NA
tree,Sample Count,count,NA,NA,NA,NA
tree,Segment,NA,NA,NA,NA,NA
tree,Tree Ring Width,cm,NA,NA,NA,NA
tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
tree,Residual,NA,NA,NA,NA,NA
tree,Arstan Chronology,NA,NA,NA,NA,NA
tree,Corrs,NA,NA,NA,NA,NA
tree,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,Expressed Population Signal,NA,NA,NA,NA,NA
tree,Core,NA,NA,NA,NA,NA
tree,Sample Count,count,NA,NA,NA,NA
tree,Segment,NA,NA,NA,NA,NA
tree,Tree Ring Width,cm,NA,NA,NA,NA
tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
tree,Residual,NA,NA,NA,NA,NA
tree,Arstan Chronology,NA,NA,NA,NA,NA
tree,Corrs,NA,NA,NA,NA,NA
tree,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,Expressed Population Signal,NA,NA,NA,NA,NA
tree,Core,NA,NA,NA,NA,NA
tree,Sample Count,count,NA,NA,NA,NA
tree,Segment,NA,NA,NA,NA,NA
tree,Tree Ring Width,cm,NA,NA,NA,NA
tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
tree,Residual,NA,NA,NA,NA,NA
tree,Arstan Chronology,NA,NA,NA,NA,NA
tree,Corrs,NA,NA,NA,NA,NA
tree,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,Expressed Population Signal,NA,NA,NA,NA,NA
tree,Core,NA,NA,NA,NA,NA
tree,Sample Count,count,NA,NA,NA,NA
tree,Segment,NA,NA,NA,NA,NA
tree,Tree Ring Width,cm,NA,NA,NA,NA
tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
tree,Residual,NA,NA,NA,NA,NA
tree,Arstan Chronology,NA,NA,NA,NA,NA
tree,Corrs,NA,NA,NA,NA,NA
tree,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,Expressed Population Signal,NA,NA,NA,NA,NA
tree,Core,NA,NA,NA,NA,NA
tree,Sample Count,count,NA,NA,NA,NA
tree,Segment,NA,NA,NA,NA,NA
tree,Tree Ring Width,cm,NA,NA,NA,NA
tree,Residual,NA,NA,NA,NA,NA
tree,Arstan Chronology,NA,NA,NA,NA,NA
tree,Corrs,NA,NA,NA,NA,NA
tree,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,Expressed Population Signal,NA,NA,NA,NA,NA
tree,Core,NA,NA,NA,NA,NA
tree,Sample Count,count,NA,NA,NA,NA
tree,Segment,NA,NA,NA,NA,NA
tree,Tree Ring Width,cm,NA,NA,NA,NA
tree,Residual,NA,NA,NA,NA,NA
tree,Arstan Chronology,NA,NA,NA,NA,NA
tree,Corrs,NA,NA,NA,NA,NA
tree,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,Expressed Population Signal,NA,NA,NA,NA,NA
tree,Core,NA,NA,NA,NA,NA
tree,Sample Count,count,NA,NA,NA,NA
tree,Segment,NA,NA,NA,NA,NA
tree,Tree Ring Width,cm,NA,NA,NA,NA
tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
tree,Residual,NA,NA,NA,NA,NA
tree,Arstan Chronology,NA,NA,NA,NA,NA
tree,Corrs,NA,NA,NA,NA,NA
tree,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,Expressed Population Signal,NA,NA,NA,NA,NA
tree,Core,NA,NA,NA,NA,NA
tree,Sample Count,count,NA,NA,NA,NA
tree,Segment,NA,NA,NA,NA,NA
tree,Tree Ring Width,cm,NA,NA,NA,NA
tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
tree,Residual,NA,NA,NA,NA,NA
tree,Arstan Chronology,NA,NA,NA,NA,NA
tree,Corrs,NA,NA,NA,NA,NA
tree,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,Expressed Population Signal,NA,NA,NA,NA,NA
tree,Core,NA,NA,NA,NA,NA
tree,Sample Count,count,NA,NA,NA,NA
tree,Segment,NA,NA,NA,NA,NA
tree,Tree Ring Width,cm,NA,NA,NA,NA
tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
tree,Residual,NA,NA,NA,NA,NA
tree,Arstan Chronology,NA,NA,NA,NA,NA
tree,Corrs,NA,NA,NA,NA,NA
tree,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,Expressed Population Signal,NA,NA,NA,NA,NA
tree,Core,NA,NA,NA,NA,NA
tree,Sample Count,count,NA,NA,NA,NA
tree,Segment,NA,NA,NA,NA,NA
tree,Tree Ring Width,cm,NA,NA,NA,NA
tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
tree,Residual,NA,NA,NA,NA,NA
tree,Arstan Chronology,NA,NA,NA,NA,NA
tree,Corrs,NA,NA,NA,NA,NA
tree,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,Expressed Population Signal,NA,NA,NA,NA,NA
tree,Core,NA,NA,NA,NA,NA
tree,Sample Count,count,NA,NA,NA,NA
tree,Segment,NA,NA,NA,NA,NA
tree,Tree Ring Width,cm,NA,NA,NA,NA
tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
tree,Residual,NA,NA,NA,NA,NA
tree,Arstan Chronology,NA,NA,NA,NA,NA
tree,Corrs,NA,NA,NA,NA,NA
tree,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,Expressed Population Signal,NA,NA,NA,NA,NA
tree,Core,NA,NA,NA,NA,NA
tree,Sample Count,count,NA,NA,NA,NA
tree,Segment,NA,NA,NA,NA,NA
tree,Tree Ring Width,cm,NA,NA,NA,NA
tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
tree,Residual,NA,NA,NA,NA,NA
tree,Arstan Chronology,NA,NA,NA,NA,NA
tree,Corrs,NA,NA,NA,NA,NA
tree,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,Expressed Population Signal,NA,NA,NA,NA,NA
tree,Core,NA,NA,NA,NA,NA
tree,Sample Count,count,NA,NA,NA,NA
tree,Segment,NA,NA,NA,NA,NA
tree,Tree Ring Width,cm,NA,NA,NA,NA
tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
tree,Residual,NA,NA,NA,NA,NA
tree,Arstan Chronology,NA,NA,NA,NA,NA
tree,Corrs,NA,NA,NA,NA,NA
tree,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,Expressed Population Signal,NA,NA,NA,NA,NA
tree,Core,NA,NA,NA,NA,NA
tree,Sample Count,count,NA,NA,NA,NA
tree,Segment,NA,NA,NA,NA,NA
tree,Tree Ring Width,cm,NA,NA,NA,NA
tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
tree,Residual,NA,NA,NA,NA,NA
tree,Arstan Chronology,NA,NA,NA,NA,NA
tree,Corrs,NA,NA,NA,NA,NA
tree,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,Expressed Population Signal,NA,NA,NA,NA,NA
tree,Core,NA,NA,NA,NA,NA
tree,Sample Count,count,NA,NA,NA,NA
tree,Segment,NA,NA,NA,NA,NA
tree,Tree Ring Width,cm,NA,NA,NA,NA
tree,Tree Ring Standardized Growth Index,NA,NA,NA,NA,NA
tree,Residual,NA,NA,NA,NA,NA
tree,Arstan Chronology,NA,NA,NA,NA,NA
tree,Corrs,NA,NA,NA,NA,NA
tree,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,Expressed Population Signal,NA,NA,NA,NA,NA
tree,Core,NA,NA,NA,NA,NA
tree,Sample Count,count,NA,NA,NA,NA
tree,Segment,NA,NA,NA,NA,NA
tree,Tree Ring Width,cm,NA,NA,NA,NA
tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
tree,Residual,NA,NA,NA,NA,NA
tree,Arstan Chronology,NA,NA,NA,NA,NA
tree,Corrs,NA,NA,NA,NA,NA
tree,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,Expressed Population Signal,NA,NA,NA,NA,NA
tree,Core,NA,NA,NA,NA,NA
tree,Sample Count,count,NA,NA,NA,NA
tree,Segment,NA,NA,NA,NA,NA
tree,Tree Ring Width,cm,NA,NA,NA,NA
tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
tree,Residual,NA,NA,NA,NA,NA
tree,Arstan Chronology,NA,NA,NA,NA,NA
tree,Corrs,NA,NA,NA,NA,NA
tree,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,Expressed Population Signal,NA,NA,NA,NA,NA
tree,Core,NA,NA,NA,NA,NA
tree,Sample Count,count,NA,NA,NA,NA
tree,Segment,NA,NA,NA,NA,NA
tree,Tree Ring Width,cm,NA,NA,NA,NA
tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
tree,Residual,NA,NA,NA,NA,NA
tree,Arstan Chronology,NA,NA,NA,NA,NA
tree,Corrs,NA,NA,NA,NA,NA
tree,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,Expressed Population Signal,NA,NA,NA,NA,NA
tree,Core,NA,NA,NA,NA,NA
tree,Sample Count,count,NA,NA,NA,NA
tree,Segment,NA,NA,NA,NA,NA
tree,Tree Ring Width,cm,NA,NA,NA,NA
tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
tree,Residual,NA,NA,NA,NA,NA
tree,Arstan Chronology,NA,NA,NA,NA,NA
tree,Corrs,NA,NA,NA,NA,NA
tree,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,Expressed Population Signal,NA,NA,NA,NA,NA
tree,Core,NA,NA,NA,NA,NA
tree,Sample Count,count,NA,NA,NA,NA
tree,Segment,NA,NA,NA,NA,NA
tree,Tree Ring Width,cm,NA,NA,NA,NA
tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
tree,Residual,NA,NA,NA,NA,NA
tree,Arstan Chronology,NA,NA,NA,NA,NA
tree,Corrs,NA,NA,NA,NA,NA
tree,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,Expressed Population Signal,NA,NA,NA,NA,NA
tree,Core,NA,NA,NA,NA,NA
tree,Sample Count,count,NA,NA,NA,NA
tree,Segment,NA,NA,NA,NA,NA
tree,Tree Ring Width,cm,NA,NA,NA,NA
tree,Tree Ring Standardized Growth Index,NA,NA,NA,NA,NA
tree,Residual,NA,NA,NA,NA,NA
tree,Arstan Chronology,NA,NA,NA,NA,NA
tree,Corrs,NA,NA,NA,NA,NA
tree,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,Expressed Population Signal,NA,NA,NA,NA,NA
tree,Core,NA,NA,NA,NA,NA
tree,Sample Count,count,NA,NA,NA,NA
tree,Segment,NA,NA,NA,NA,NA
tree,Tree Ring Width,cm,NA,NA,NA,NA
tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
tree,Residual,NA,NA,NA,NA,NA
tree,Arstan Chronology,NA,NA,NA,NA,NA
tree,Corrs,NA,NA,NA,NA,NA
tree,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,Expressed Population Signal,NA,NA,NA,NA,NA
tree,Core,NA,NA,NA,NA,NA
tree,Sample Count,count,NA,NA,NA,NA
tree,Segment,NA,NA,NA,NA,NA
tree,Tree Ring Width,cm,NA,NA,NA,NA
tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
tree,Residual,NA,NA,NA,NA,NA
tree,Arstan Chronology,NA,NA,NA,NA,NA
tree,Corrs,NA,NA,NA,NA,NA
tree,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,Expressed Population Signal,NA,NA,NA,NA,NA
tree,Core,NA,NA,NA,NA,NA
tree,Sample Count,count,NA,NA,NA,NA
tree,Segment,NA,NA,NA,NA,NA
tree,Tree Ring Width,cm,NA,NA,NA,NA
tree,Tree Ring Standardized Growth Index,NA,NA,NA,NA,NA
tree,Residual,NA,NA,NA,NA,NA
tree,Arstan Chronology,NA,NA,NA,NA,NA
tree,Corrs,NA,NA,NA,NA,NA
tree,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,Expressed Population Signal,NA,NA,NA,NA,NA
tree,Core,NA,NA,NA,NA,NA
tree,Sample Count,count,NA,NA,NA,NA
tree,Segment,NA,NA,NA,NA,NA
tree,Tree Ring Width,cm,NA,NA,NA,NA
tree,Tree Ring Standardized Growth Index,NA,NA,NA,NA,NA
tree,Residual,NA,NA,NA,NA,NA
tree,Arstan Chronology,NA,NA,NA,NA,NA
tree,Corrs,NA,NA,NA,NA,NA
tree,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,Expressed Population Signal,NA,NA,NA,NA,NA
tree,Core,NA,NA,NA,NA,NA
tree,Sample Count,count,NA,NA,NA,NA
tree,Segment,NA,NA,NA,NA,NA
tree,Tree Ring Width,cm,NA,NA,NA,NA
tree,Tree Ring Standardized Growth Index,NA,NA,NA,NA,NA
tree,Residual,NA,NA,NA,NA,NA
tree,Arstan Chronology,NA,NA,NA,NA,NA
tree,Corrs,NA,NA,NA,NA,NA
tree,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,Expressed Population Signal,NA,NA,NA,NA,NA
tree,Core,NA,NA,NA,NA,NA
tree,Sample Count,count,NA,NA,NA,NA
tree,Segment,NA,NA,NA,NA,NA
tree,Tree Ring Width,cm,NA,NA,NA,NA
tree,Tree Ring Standardized Growth Index,NA,NA,NA,NA,NA
tree,Residual,NA,NA,NA,NA,NA
tree,Arstan Chronology,NA,NA,NA,NA,NA
tree,Corrs,NA,NA,NA,NA,NA
tree,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,Expressed Population Signal,NA,NA,NA,NA,NA
tree,Core,NA,NA,NA,NA,NA
tree,Sample Count,count,NA,NA,NA,NA
tree,Segment,NA,NA,NA,NA,NA
tree,Tree Ring Width,cm,NA,NA,NA,NA
tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
tree,Residual,NA,NA,NA,NA,NA
tree,Arstan Chronology,NA,NA,NA,NA,NA
tree,Corrs,NA,NA,NA,NA,NA
tree,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,Expressed Population Signal,NA,NA,NA,NA,NA
tree,Core,NA,NA,NA,NA,NA
tree,Sample Count,count,NA,NA,NA,NA
tree,Segment,NA,NA,NA,NA,NA
tree,Density,g/cm3,NA,NA,NA,NA
tree,Maximum Latewood Density,NA,NA,Air Surface,NA,NA
tree,Residual,NA,NA,NA,NA,NA
tree,Arstan Chronology,NA,NA,NA,NA,NA
tree,Corrs,NA,NA,NA,NA,NA
tree,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,Expressed Population Signal,NA,NA,NA,NA,NA
tree,Core,NA,NA,NA,NA,NA
tree,Sample Count,count,NA,NA,NA,NA
tree,Segment,NA,NA,NA,NA,NA
tree,Tree Ring Width,cm,NA,NA,NA,NA
tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
tree,Residual,NA,NA,NA,NA,NA
tree,Arstan Chronology,NA,NA,NA,NA,NA
tree,Corrs,NA,NA,NA,NA,NA
tree,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,Expressed Population Signal,NA,NA,NA,NA,NA
tree,Core,NA,NA,NA,NA,NA
tree,Sample Count,count,NA,NA,NA,NA
tree,Segment,NA,NA,NA,NA,NA
tree,Tree Ring Width,cm,NA,NA,NA,NA
tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
tree,Residual,NA,NA,NA,NA,NA
tree,Arstan Chronology,NA,NA,NA,NA,NA
tree,Corrs,NA,NA,NA,NA,NA
tree,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,Expressed Population Signal,NA,NA,NA,NA,NA
tree,Core,NA,NA,NA,NA,NA
tree,Sample Count,count,NA,NA,NA,NA
tree,Segment,NA,NA,NA,NA,NA
tree,Tree Ring Width,cm,NA,NA,NA,NA
tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
tree,Residual,NA,NA,NA,NA,NA
tree,Arstan Chronology,NA,NA,NA,NA,NA
tree,Corrs,NA,NA,NA,NA,NA
tree,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,Expressed Population Signal,NA,NA,NA,NA,NA
tree,Core,NA,NA,NA,NA,NA
tree,Sample Count,count,NA,NA,NA,NA
tree,Segment,NA,NA,NA,NA,NA
tree,Tree Ring Width,cm,NA,NA,NA,NA
tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
tree,Residual,NA,NA,NA,NA,NA
tree,Arstan Chronology,NA,NA,NA,NA,NA
tree,Corrs,NA,NA,NA,NA,NA
tree,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,Expressed Population Signal,NA,NA,NA,NA,NA
tree,Core,NA,NA,NA,NA,NA
tree,Sample Count,count,NA,NA,NA,NA
tree,Segment,NA,NA,NA,NA,NA
tree,Tree Ring Width,cm,NA,NA,NA,NA
tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
tree,Residual,NA,NA,NA,NA,NA
tree,Arstan Chronology,NA,NA,NA,NA,NA
tree,Corrs,NA,NA,NA,NA,NA
tree,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,Expressed Population Signal,NA,NA,NA,NA,NA
tree,Core,NA,NA,NA,NA,NA
tree,Sample Count,count,NA,NA,NA,NA
tree,Segment,NA,NA,NA,NA,NA
tree,Tree Ring Width,cm,NA,NA,NA,NA
tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
tree,Residual,NA,NA,NA,NA,NA
tree,Arstan Chronology,NA,NA,NA,NA,NA
tree,Corrs,NA,NA,NA,NA,NA
tree,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,Expressed Population Signal,NA,NA,NA,NA,NA
tree,Core,NA,NA,NA,NA,NA
tree,Sample Count,count,NA,NA,NA,NA
tree,Segment,NA,NA,NA,NA,NA
tree,Tree Ring Width,cm,NA,NA,NA,NA
tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
tree,Residual,NA,NA,NA,NA,NA
tree,Arstan Chronology,NA,NA,NA,NA,NA
tree,Corrs,NA,NA,NA,NA,NA
tree,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,Expressed Population Signal,NA,NA,NA,NA,NA
tree,Core,NA,NA,NA,NA,NA
tree,Sample Count,count,NA,NA,NA,NA
tree,Segment,NA,NA,NA,NA,NA
tree,Tree Ring Width,cm,NA,NA,NA,NA
tree,Tree Ring Standardized Growth Index,NA,NA,NA,NA,NA
tree,Residual,NA,NA,NA,NA,NA
tree,Arstan Chronology,NA,NA,NA,NA,NA
tree,Corrs,NA,NA,NA,NA,NA
tree,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,Expressed Population Signal,NA,NA,NA,NA,NA
tree,Core,NA,NA,NA,NA,NA
tree,Sample Count,count,NA,NA,NA,NA
tree,Segment,NA,NA,NA,NA,NA
tree,Tree Ring Width,cm,NA,NA,NA,NA
tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
tree,Residual,NA,NA,NA,NA,NA
tree,Arstan Chronology,NA,NA,NA,NA,NA
tree,Corrs,NA,NA,NA,NA,NA
tree,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,Expressed Population Signal,NA,NA,NA,NA,NA
tree,Core,NA,NA,NA,NA,NA
tree,Sample Count,count,NA,NA,NA,NA
tree,Segment,NA,NA,NA,NA,NA
tree,Tree Ring Width,cm,NA,NA,NA,NA
tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
tree,Residual,NA,NA,NA,NA,NA
tree,Arstan Chronology,NA,NA,NA,NA,NA
tree,Corrs,NA,NA,NA,NA,NA
tree,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,Expressed Population Signal,NA,NA,NA,NA,NA
tree,Core,NA,NA,NA,NA,NA
tree,Sample Count,count,NA,NA,NA,NA
tree,Segment,NA,NA,NA,NA,NA
tree,Tree Ring Width,cm,NA,NA,NA,NA
tree,Tree Ring Standardized Growth Index,NA,NA,NA,NA,NA
tree,Residual,NA,NA,NA,NA,NA
tree,Arstan Chronology,NA,NA,NA,NA,NA
tree,Corrs,NA,NA,NA,NA,NA
tree,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,Expressed Population Signal,NA,NA,NA,NA,NA
tree,Core,NA,NA,NA,NA,NA
tree,Sample Count,count,NA,NA,NA,NA
tree,Segment,NA,NA,NA,NA,NA
tree,Tree Ring Width,cm,NA,NA,NA,NA
tree,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
tree,Residual,NA,NA,NA,NA,NA
tree,Arstan Chronology,NA,NA,NA,NA,NA
tree,Corrs,NA,NA,NA,NA,NA
tree,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,NA,NA,NA,NA,NA,NA
tree,Expressed Population Signal,NA,NA,NA,NA,NA
tree,Core,NA,NA,NA,NA,NA
lake sediment,Thickness,NA,NA,Air Surface,NA,NA
lake sediment,Sample Count,NA,NA,NA,NA,NA
